"waterlevel","DNA.concentration"
1.03270062605561,8.07745822613844
2.73144742828034,7.39887938853682
2.8576531533858,8.61699622945997
4.44207297985458,8.97489955698837
4.69372015283178,7.85390631103799
6.3352272747657,8.47903608379831
6.47533876270187,8.68472456024623
8.11735623618172,8.7963428014972
9.45487865170934,8.30365321271881
9.04335636982849,9.55209406414925
9.6001653589027,8.9366945337799
11.5566231146359,8.82764502243104
13.0015557273771,9.07515458367564
14.3831371365224,9.04990484563779
14.9535538624563,9.3572519468419
16.2674088980034,9.41117196363343
18.0400403459601,10.0331491204465
16.9321932184128,9.89709707018566
18.6400614951746,10.7136642042035
18.8121163845348,9.81682576829498
