"waterlevel","DNA.concentration"
1.99048583656111,12.4935805029898
2.8950565232911,4.05952864774214
1.84923758514051,9.24135473405729
4.25741125245435,8.03225160858128
5.10070038121801,6.59213283286901
6.04428538553497,15.9833089624732
6.57757038008673,9.61117103472194
8.43219814731731,11.4697504285755
9.28081333791262,8.05406257830386
9.80413179312241,12.2527301133938
11.0448781686745,17.7546242014661
11.1339602062499,8.95717950645282
13.6344080172682,4.98307790071147
14.1282023986657,9.86566684429551
15.5353588532575,9.41238575029572
16.7522835956769,6.14553169618407
16.6862726897187,12.3036110724068
18.2919788951721,8.98381384482145
18.7455838770482,1.95148892366104
19.5784779176543,16.7700151226758
