"waterlevel","DNA.concentration"
1.71801845296427,1.4681881735334
1.08882384645307,3.3890081057315
3.37834818745467,6.25413938067922
3.93364436475868,8.06017612511776
4.77585477437713,11.541006079762
5.82478229680419,14.7912950045355
6.94037372981696,15.5948659844177
7.67681569115033,18.0061085394586
9.34609160586319,19.9435587415527
9.77143145522358,24.7398434711718
10.4810919071056,27.9797013578135
12.48105233384,28.8350344677877
12.6808724351578,32.691663513316
13.8741035293803,33.4909506974306
14.7950278327165,38.4584067230665
15.2139276704931,38.2820850311392
17.3922151466636,42.5845696099549
17.6075941042166,45.8534347876063
17.7136678763992,47.2313603259141
20.4270349052556,50.8326413905098
