"waterlevel","DNA.concentration"
1.86896980812605,-1.68680781352274
2.07180529837934,-7.71477481306411
2.75806528149754,2.53802953348781
3.61696620394443,7.56558708304118
4.7502913704146,6.62547785010207
5.67611533226922,6.2627368966688
6.64479911039289,8.58987425040864
7.19447727120724,11.1883280509924
8.86210522233702,2.28288574052939
10.4398832376808,7.62058951159702
11.2227709115814,11.347830379928
13.0187414968365,7.55485170873012
12.9060647168868,11.6123134880467
14.2192086091642,19.8226887729801
14.7534500296103,19.009754863557
15.6963082532121,5.46678570736919
17.170126685278,18.5474761244581
17.759751356491,20.6544609680724
19.1321116710164,19.9149305582558
19.7491598257855,21.6179388023856
